Дата;Заказчик;Город;Категория товара;Товар;Цена за упаковку;Количество;Итого
02.01.2020 0:00;Лента;Волгоград;Овощи;Картофель;690;35;24150
02.01.2020 0:00;Магнит;Волгоград;Овощи;Морковь;715;67;47905
03.01.2020 0:00;Лента;Екатеринбург;Ягоды;Клубника;2460;67;164820
03.01.2020 0:00;Магнит;Новосибирск;Овощи;Морковь;715;62;44330
03.01.2020 0:00;Лента;Санкт-Петербург;Фрукты;Сливы;930;97;90210
03.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Картофель;690;79;54510
03.01.2020 0:00;Ашан;Москва;Овощи;Морковь;715;75;53625
03.01.2020 0:00;Лента;Санкт-Петербург;Зелень;Кинза;650;85;55250
03.01.2020 0:00;Лента;Москва;Овощи;Кабачки;325;17;5525
03.01.2020 0:00;Магнит;Ростов-на-Дону;Фрукты;Сливы;930;44;40920
03.01.2020 0:00;Магнит;Волгоград;Ягоды;Черешня;1760;59;103840
03.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Морковь;715;39;27885
03.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Малина;2970;80;237600
04.01.2020 0:00;Лента;Волгоград;Овощи;Кабачки;325;50;16250
04.01.2020 0:00;Лента;Волгоград;Зелень;Салат римский;540;73;39420
04.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Морковь;715;39;27885
04.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Зелень;Укроп;650;29;18850
05.01.2020 0:00;Магнит;Москва;Овощи;Баклажаны;890;75;66750
05.01.2020 0:00;Лента;Москва;Зелень;Салат римский;540;77;41580
05.01.2020 0:00;Лента;Москва;Зелень;Салат римский;540;11;5940
05.01.2020 0:00;Лента;Екатеринбург;Овощи;Баклажаны;890;25;22250
05.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Капуста;460;24;11040
05.01.2020 0:00;О'КЕЙ;Екатеринбург;Ягоды;Голубика;3205;96;307680
05.01.2020 0:00;Магнит;Москва;Ягоды;Клубника;2460;100;246000
05.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Фрукты;Груши;1420;76;107920
05.01.2020 0:00;Ашан;Екатеринбург;Фрукты;Бананы;2400;35;84000
06.01.2020 0:00;Магнит;Волгоград;Фрукты;Бананы;2400;67;160800
06.01.2020 0:00;Лента;Санкт-Петербург;Зелень;Салат римский;540;79;42660
06.01.2020 0:00;Магнит;Волгоград;Зелень;Лук зеленый;705;33;23265
06.01.2020 0:00;Лента;Новосибирск;Фрукты;Сливы;930;26;24180
06.01.2020 0:00;Магнит;Санкт-Петербург;Ягоды;Черешня;1760;5;8800
06.01.2020 0:00;Магнит;Екатеринбург;Зелень;Салат римский;540;68;36720
06.01.2020 0:00;Магнит;Новосибирск;Овощи;Кабачки;325;67;21775
06.01.2020 0:00;Ашан;Ростов-на-Дону;Овощи;Свекла;450;20;9000
07.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Абрикосы;1320;90;118800
07.01.2020 0:00;Лента;Санкт-Петербург;Овощи;Картофель;690;14;9660
07.01.2020 0:00;Магнит;Москва;Ягоды;Клубника;2460;70;172200
07.01.2020 0:00;О'КЕЙ;Москва;Зелень;Укроп;650;11;7150
07.01.2020 0:00;Лента;Ростов-на-Дону;Ягоды;Брусника;1670;84;140280
07.01.2020 0:00;Магнит;Санкт-Петербург;Фрукты;Бананы;2400;20;48000
07.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Петрушка;640;52;33280
07.01.2020 0:00;Ашан;Ростов-на-Дону;Ягоды;Смородина черная;1505;20;30100
07.01.2020 0:00;Лента;Екатеринбург;Ягоды;Черешня;1760;40;70400
07.01.2020 0:00;Лента;Новосибирск;Овощи;Морковь;715;87;62205
07.01.2020 0:00;Магнит;Ростов-на-Дону;Фрукты;Груши;1420;97;137740
07.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Малина;2970;7;20790
07.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Картофель;690;84;57960
08.01.2020 0:00;Лента;Екатеринбург;Зелень;Укроп;650;88;57200
08.01.2020 0:00;Лента;Новосибирск;Фрукты;Груши;1420;54;76680
08.01.2020 0:00;Магнит;Москва;Фрукты;Абрикосы;1320;11;14520
08.01.2020 0:00;Лента;Волгоград;Фрукты;Абрикосы;1320;25;33000
08.01.2020 0:00;О'КЕЙ;Волгоград;Ягоды;Смородина черная;1505;89;133945
08.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Фрукты;Апельсины;2540;70;177800
08.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Капуста;460;43;19780
08.01.2020 0:00;Лента;Санкт-Петербург;Зелень;Лук зеленый;705;90;63450
09.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Черешня;1760;63;110880
09.01.2020 0:00;Магнит;Волгоград;Зелень;Лук зеленый;705;95;66975
09.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Зелень;Салат римский;540;15;8100
09.01.2020 0:00;Лента;Новосибирск;Фрукты;Апельсины;2540;75;190500
09.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Черешня;1760;97;170720
09.01.2020 0:00;Лента;Екатеринбург;Зелень;Салат айсберг;1380;71;97980
09.01.2020 0:00;Лента;Санкт-Петербург;Ягоды;Брусника;1670;27;45090
09.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Абрикосы;1320;40;52800
09.01.2020 0:00;О'КЕЙ;Новосибирск;Фрукты;Сливы;930;60;55800
09.01.2020 0:00;Ашан;Волгоград;Ягоды;Смородина черная;1505;58;87290
10.01.2020 0:00;Лента;Волгоград;Зелень;Лук зеленый;705;71;50055
10.01.2020 0:00;О'КЕЙ;Новосибирск;Ягоды;Клубника;2460;13;31980
10.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Морковь;715;34;24310
10.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Абрикосы;1320;96;126720
10.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Ягоды;Смородина черная;1505;60;90300
10.01.2020 0:00;Магнит;Екатеринбург;Зелень;Петрушка;640;70;44800
10.01.2020 0:00;О'КЕЙ;Москва;Овощи;Свекла;450;50;22500
10.01.2020 0:00;Ашан;Новосибирск;Ягоды;Голубика;3205;59;189095
10.01.2020 0:00;О'КЕЙ;Волгоград;Ягоды;Брусника;1670;70;116900
11.01.2020 0:00;Ашан;Санкт-Петербург;Овощи;Кабачки;325;25;8125
11.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Баклажаны;890;31;27590
11.01.2020 0:00;О'КЕЙ;Москва;Ягоды;Брусника;1670;70;116900
11.01.2020 0:00;Магнит;Санкт-Петербург;Овощи;Баклажаны;890;7;6230
11.01.2020 0:00;О'КЕЙ;Екатеринбург;Ягоды;Черешня;1760;38;66880
11.01.2020 0:00;Ашан;Екатеринбург;Фрукты;Бананы;2400;34;81600
11.01.2020 0:00;Ашан;Ростов-на-Дону;Фрукты;Бананы;2400;91;218400
11.01.2020 0:00;Магнит;Москва;Овощи;Капуста;460;26;11960
11.01.2020 0:00;Ашан;Волгоград;Фрукты;Сливы;930;26;24180
11.01.2020 0:00;Магнит;Москва;Фрукты;Абрикосы;1320;71;93720
12.01.2020 0:00;Ашан;Волгоград;Фрукты;Сливы;930;22;20460
12.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Абрикосы;1320;7;9240
12.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Свекла;450;74;33300
12.01.2020 0:00;Ашан;Волгоград;Фрукты;Абрикосы;1320;93;122760
12.01.2020 0:00;Магнит;Волгоград;Ягоды;Брусника;1670;97;161990
12.01.2020 0:00;Магнит;Санкт-Петербург;Ягоды;Голубика;3205;56;179480
12.01.2020 0:00;О'КЕЙ;Екатеринбург;Ягоды;Малина;2970;55;163350
12.01.2020 0:00;Ашан;Волгоград;Ягоды;Брусника;1670;27;45090
12.01.2020 0:00;Магнит;Новосибирск;Фрукты;Апельсины;2540;56;142240
13.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Голубика;3205;54;173070
13.01.2020 0:00;Лента;Москва;Фрукты;Яблоки;1230;22;27060
13.01.2020 0:00;Лента;Москва;Зелень;Лук зеленый;705;21;14805
13.01.2020 0:00;Лента;Москва;Фрукты;Апельсины;2540;60;152400
14.01.2020 0:00;Ашан;Новосибирск;Зелень;Салат римский;540;10;5400
14.01.2020 0:00;Лента;Санкт-Петербург;Зелень;Салат айсберг;1380;43;59340
14.01.2020 0:00;Магнит;Новосибирск;Овощи;Кабачки;325;55;17875
14.01.2020 0:00;Магнит;Ростов-на-Дону;Фрукты;Абрикосы;1320;41;54120
14.01.2020 0:00;Лента;Москва;Фрукты;Бананы;2400;33;79200
14.01.2020 0:00;Магнит;Екатеринбург;Овощи;Баклажаны;890;74;65860
14.01.2020 0:00;Ашан;Ростов-на-Дону;Овощи;Морковь;715;22;15730
14.01.2020 0:00;О'КЕЙ;Москва;Фрукты;Апельсины;2540;12;30480
14.01.2020 0:00;Лента;Екатеринбург;Овощи;Баклажаны;890;88;78320
14.01.2020 0:00;Ашан;Москва;Фрукты;Сливы;930;88;81840
14.01.2020 0:00;О'КЕЙ;Москва;Овощи;Морковь;715;14;10010
14.01.2020 0:00;О'КЕЙ;Екатеринбург;Ягоды;Голубика;3205;94;301270
14.01.2020 0:00;Магнит;Новосибирск;Фрукты;Апельсины;2540;41;104140
15.01.2020 0:00;Ашан;Ростов-на-Дону;Зелень;Петрушка;640;26;16640
15.01.2020 0:00;Магнит;Ростов-на-Дону;Ягоды;Клубника;2460;56;137760
15.01.2020 0:00;Лента;Волгоград;Ягоды;Клубника;2460;90;221400
15.01.2020 0:00;Лента;Екатеринбург;Зелень;Салат римский;540;26;14040
15.01.2020 0:00;Лента;Екатеринбург;Овощи;Картофель;690;87;60030
15.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Свекла;450;22;9900
15.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Кинза;650;88;57200
16.01.2020 0:00;Ашан;Москва;Овощи;Морковь;715;64;45760
16.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Свекла;450;91;40950
16.01.2020 0:00;Лента;Санкт-Петербург;Овощи;Кабачки;325;81;26325
16.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Ягоды;Брусника;1670;63;105210
16.01.2020 0:00;Лента;Екатеринбург;Зелень;Кинза;650;58;37700
16.01.2020 0:00;Магнит;Екатеринбург;Зелень;Кинза;650;92;59800
16.01.2020 0:00;Лента;Санкт-Петербург;Фрукты;Бананы;2400;8;19200
16.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Ягоды;Черешня;1760;12;21120
16.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Петрушка;640;23;14720
16.01.2020 0:00;Магнит;Москва;Ягоды;Малина;2970;74;219780
16.01.2020 0:00;Магнит;Москва;Овощи;Баклажаны;890;84;74760
16.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Фрукты;Абрикосы;1320;5;6600
16.01.2020 0:00;Лента;Волгоград;Овощи;Свекла;450;78;35100
17.01.2020 0:00;Магнит;Новосибирск;Овощи;Картофель;690;96;66240
17.01.2020 0:00;Лента;Новосибирск;Овощи;Морковь;715;73;52195
17.01.2020 0:00;Магнит;Москва;Зелень;Лук зеленый;705;57;40185
17.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Зелень;Салат римский;540;32;17280
17.01.2020 0:00;Магнит;Санкт-Петербург;Ягоды;Смородина черная;1505;90;135450
17.01.2020 0:00;Ашан;Ростов-на-Дону;Ягоды;Черешня;1760;36;63360
18.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Зелень;Кинза;650;29;18850
18.01.2020 0:00;Лента;Екатеринбург;Ягоды;Голубика;3205;5;16025
18.01.2020 0:00;Лента;Ростов-на-Дону;Овощи;Морковь;715;16;11440
18.01.2020 0:00;Лента;Санкт-Петербург;Ягоды;Голубика;3205;82;262810
18.01.2020 0:00;Лента;Екатеринбург;Фрукты;Груши;1420;55;78100
18.01.2020 0:00;Лента;Ростов-на-Дону;Фрукты;Сливы;930;46;42780
18.01.2020 0:00;Магнит;Новосибирск;Фрукты;Сливы;930;46;42780
18.01.2020 0:00;Лента;Новосибирск;Фрукты;Груши;1420;75;106500
18.01.2020 0:00;О'КЕЙ;Москва;Зелень;Кинза;650;90;58500
19.01.2020 0:00;Ашан;Ростов-на-Дону;Ягоды;Брусника;1670;13;21710
19.01.2020 0:00;Лента;Новосибирск;Фрукты;Абрикосы;1320;90;118800
19.01.2020 0:00;Ашан;Екатеринбург;Зелень;Салат айсберг;1380;19;26220
19.01.2020 0:00;Лента;Санкт-Петербург;Овощи;Свекла;450;47;21150
19.01.2020 0:00;О'КЕЙ;Москва;Овощи;Картофель;690;51;35190
19.01.2020 0:00;О'КЕЙ;Новосибирск;Фрукты;Яблоки;1230;33;40590
19.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Салат айсберг;1380;29;40020
19.01.2020 0:00;Лента;Ростов-на-Дону;Зелень;Салат римский;540;79;42660
20.01.2020 0:00;Лента;Санкт-Петербург;Ягоды;Смородина черная;1505;43;64715
20.01.2020 0:00;Ашан;Волгоград;Зелень;Лук зеленый;705;89;62745
20.01.2020 0:00;Ашан;Екатеринбург;Зелень;Салат римский;540;46;24840
20.01.2020 0:00;Лента;Ростов-на-Дону;Фрукты;Бананы;2400;11;26400
20.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Ягоды;Малина;2970;70;207900
20.01.2020 0:00;Магнит;Екатеринбург;Овощи;Капуста;460;48;22080
20.01.2020 0:00;Лента;Новосибирск;Фрукты;Сливы;930;55;51150
20.01.2020 0:00;Ашан;Ростов-на-Дону;Овощи;Картофель;690;49;33810
20.01.2020 0:00;Лента;Волгоград;Фрукты;Груши;1420;81;115020
20.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Кабачки;325;37;12025
20.01.2020 0:00;Лента;Москва;Ягоды;Голубика;3205;97;310885
20.01.2020 0:00;Лента;Новосибирск;Ягоды;Брусника;1670;8;13360
21.01.2020 0:00;Ашан;Ростов-на-Дону;Овощи;Баклажаны;890;16;14240
21.01.2020 0:00;О'КЕЙ;Новосибирск;Фрукты;Сливы;930;6;5580
21.01.2020 0:00;Магнит;Ростов-на-Дону;Овощи;Капуста;460;39;17940
21.01.2020 0:00;Лента;Волгоград;Овощи;Свекла;450;54;24300
21.01.2020 0:00;Лента;Новосибирск;Овощи;Капуста;460;7;3220
21.01.2020 0:00;Магнит;Новосибирск;Ягоды;Клубника;2460;34;83640
21.01.2020 0:00;Лента;Екатеринбург;Зелень;Салат айсберг;1380;37;51060
21.01.2020 0:00;Магнит;Новосибирск;Фрукты;Абрикосы;1320;48;63360
21.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Фрукты;Груши;1420;37;52540
21.01.2020 0:00;Магнит;Новосибирск;Фрукты;Сливы;930;38;35340
21.01.2020 0:00;Ашан;Санкт-Петербург;Овощи;Баклажаны;890;84;74760
22.01.2020 0:00;Магнит;Новосибирск;Овощи;Морковь;715;91;65065
22.01.2020 0:00;Магнит;Новосибирск;Ягоды;Голубика;3205;85;272425
22.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Клубника;2460;51;125460
22.01.2020 0:00;Лента;Волгоград;Зелень;Салат айсберг;1380;12;16560
22.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Картофель;690;26;17940
22.01.2020 0:00;Магнит;Москва;Овощи;Кабачки;325;43;13975
22.01.2020 0:00;Магнит;Ростов-на-Дону;Зелень;Лук зеленый;705;79;55695
23.01.2020 0:00;Лента;Санкт-Петербург;Фрукты;Абрикосы;1320;97;128040
23.01.2020 0:00;Ашан;Екатеринбург;Зелень;Петрушка;640;11;7040
23.01.2020 0:00;Лента;Новосибирск;Зелень;Петрушка;640;31;19840
23.01.2020 0:00;Магнит;Москва;Овощи;Капуста;460;22;10120
23.01.2020 0:00;Лента;Ростов-на-Дону;Фрукты;Абрикосы;1320;96;126720
23.01.2020 0:00;О'КЕЙ;Волгоград;Фрукты;Сливы;930;39;36270
23.01.2020 0:00;Магнит;Екатеринбург;Фрукты;Апельсины;2540;99;251460
23.01.2020 0:00;О'КЕЙ;Москва;Фрукты;Груши;1420;11;15620
23.01.2020 0:00;Лента;Санкт-Петербург;Зелень;Укроп;650;100;65000
23.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Бананы;2400;67;160800
24.01.2020 0:00;Лента;Волгоград;Овощи;Морковь;715;56;40040
24.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Кинза;650;69;44850
24.01.2020 0:00;Магнит;Новосибирск;Фрукты;Яблоки;1230;99;121770
24.01.2020 0:00;Лента;Екатеринбург;Овощи;Свекла;450;97;43650
24.01.2020 0:00;Ашан;Волгоград;Зелень;Лук зеленый;705;67;47235
24.01.2020 0:00;Магнит;Москва;Овощи;Баклажаны;890;18;16020
24.01.2020 0:00;Ашан;Ростов-на-Дону;Ягоды;Клубника;2460;75;184500
24.01.2020 0:00;Магнит;Екатеринбург;Фрукты;Апельсины;2540;91;231140
24.01.2020 0:00;Ашан;Ростов-на-Дону;Овощи;Картофель;690;9;6210
24.01.2020 0:00;О'КЕЙ;Волгоград;Ягоды;Голубика;3205;21;67305
25.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Ягоды;Смородина черная;1505;39;58695
25.01.2020 0:00;Ашан;Волгоград;Фрукты;Бананы;2400;70;168000
25.01.2020 0:00;О'КЕЙ;Новосибирск;Ягоды;Брусника;1670;67;111890
25.01.2020 0:00;Магнит;Санкт-Петербург;Овощи;Кабачки;325;48;15600
25.01.2020 0:00;О'КЕЙ;Волгоград;Зелень;Салат айсберг;1380;63;86940
26.01.2020 0:00;Ашан;Новосибирск;Фрукты;Абрикосы;1320;43;56760
26.01.2020 0:00;Лента;Новосибирск;Фрукты;Груши;1420;54;76680
26.01.2020 0:00;Лента;Санкт-Петербург;Ягоды;Малина;2970;79;234630
26.01.2020 0:00;Магнит;Санкт-Петербург;Фрукты;Груши;1420;63;89460
27.01.2020 0:00;Магнит;Ростов-на-Дону;Зелень;Укроп;650;75;48750
27.01.2020 0:00;Магнит;Ростов-на-Дону;Ягоды;Черешня;1760;50;88000
27.01.2020 0:00;Магнит;Волгоград;Овощи;Капуста;460;90;41400
27.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Свекла;450;69;31050
27.01.2020 0:00;Магнит;Москва;Зелень;Салат римский;540;48;25920
27.01.2020 0:00;Ашан;Екатеринбург;Овощи;Кабачки;325;49;15925
27.01.2020 0:00;Магнит;Ростов-на-Дону;Зелень;Укроп;650;33;21450
27.01.2020 0:00;Ашан;Новосибирск;Фрукты;Груши;1420;95;134900
28.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Брусника;1670;97;161990
28.01.2020 0:00;О'КЕЙ;Москва;Овощи;Кабачки;325;80;26000
28.01.2020 0:00;Ашан;Волгоград;Овощи;Кабачки;325;41;13325
28.01.2020 0:00;Лента;Екатеринбург;Зелень;Лук зеленый;705;23;16215
28.01.2020 0:00;Магнит;Ростов-на-Дону;Ягоды;Смородина черная;1505;31;46655
28.01.2020 0:00;Магнит;Екатеринбург;Зелень;Салат римский;540;46;24840
28.01.2020 0:00;Лента;Екатеринбург;Ягоды;Голубика;3205;46;147430
28.01.2020 0:00;Ашан;Волгоград;Фрукты;Яблоки;1230;40;49200
28.01.2020 0:00;Магнит;Москва;Ягоды;Черешня;1760;46;80960
28.01.2020 0:00;Магнит;Москва;Зелень;Укроп;650;13;8450
28.01.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Сливы;930;18;16740
29.01.2020 0:00;Лента;Ростов-на-Дону;Зелень;Лук зеленый;705;12;8460
29.01.2020 0:00;О'КЕЙ;Волгоград;Ягоды;Клубника;2460;11;27060
29.01.2020 0:00;Лента;Новосибирск;Фрукты;Груши;1420;74;105080
29.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Кабачки;325;89;28925
29.01.2020 0:00;Ашан;Новосибирск;Зелень;Салат римский;540;98;52920
29.01.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Голубика;3205;27;86535
30.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Малина;2970;37;109890
30.01.2020 0:00;О'КЕЙ;Новосибирск;Ягоды;Черешня;1760;99;174240
30.01.2020 0:00;О'КЕЙ;Новосибирск;Ягоды;Голубика;3205;53;169865
30.01.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Морковь;715;60;42900
30.01.2020 0:00;О'КЕЙ;Ростов-на-Дону;Овощи;Картофель;690;78;53820
30.01.2020 0:00;Ашан;Екатеринбург;Фрукты;Груши;1420;12;17040
30.01.2020 0:00;О'КЕЙ;Москва;Фрукты;Апельсины;2540;37;93980
30.01.2020 0:00;Магнит;Волгоград;Фрукты;Апельсины;2540;96;243840
30.01.2020 0:00;Лента;Ростов-на-Дону;Ягоды;Смородина черная;1505;25;37625
31.01.2020 0:00;Лента;Москва;Зелень;Кинза;650;68;44200
31.01.2020 0:00;Магнит;Екатеринбург;Зелень;Лук зеленый;705;54;38070
31.01.2020 0:00;Магнит;Санкт-Петербург;Зелень;Кинза;650;21;13650
31.01.2020 0:00;Лента;Волгоград;Фрукты;Груши;1420;31;44020
31.01.2020 0:00;Ашан;Волгоград;Фрукты;Апельсины;2540;88;223520
31.01.2020 0:00;Ашан;Ростов-на-Дону;Ягоды;Смородина черная;1505;53;79765
31.01.2020 0:00;Ашан;Новосибирск;Зелень;Лук зеленый;705;19;13395
31.01.2020 0:00;Ашан;Санкт-Петербург;Ягоды;Малина;2970;55;163350
01.02.2020 0:00;Ашан;Санкт-Петербург;Овощи;Свекла;450;12;5400
01.02.2020 0:00;Магнит;Новосибирск;Зелень;Салат айсберг;1380;31;42780
01.02.2020 0:00;Ашан;Екатеринбург;Овощи;Кабачки;325;100;32500
01.02.2020 0:00;Лента;Москва;Овощи;Баклажаны;890;22;19580
01.02.2020 0:00;Магнит;Москва;Ягоды;Черешня;1760;49;86240
01.02.2020 0:00;О'КЕЙ;Ростов-на-Дону;Овощи;Морковь;715;51;36465
01.02.2020 0:00;Лента;Ростов-на-Дону;Ягоды;Брусника;1670;77;128590
01.02.2020 0:00;Лента;Санкт-Петербург;Фрукты;Абрикосы;1320;11;14520
01.02.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Капуста;460;89;40940
01.02.2020 0:00;О'КЕЙ;Волгоград;Зелень;Салат айсберг;1380;61;84180
01.02.2020 0:00;Магнит;Москва;Ягоды;Черешня;1760;99;174240
01.02.2020 0:00;О'КЕЙ;Москва;Ягоды;Смородина черная;1505;96;144480
01.02.2020 0:00;Ашан;Москва;Овощи;Морковь;715;8;5720
02.02.2020 0:00;Магнит;Москва;Ягоды;Малина;2970;15;44550
02.02.2020 0:00;Лента;Екатеринбург;Фрукты;Бананы;2400;57;136800
02.02.2020 0:00;Ашан;Екатеринбург;Зелень;Кинза;650;49;31850
02.02.2020 0:00;О'КЕЙ;Санкт-Петербург;Ягоды;Брусника;1670;70;116900
02.02.2020 0:00;Ашан;Новосибирск;Фрукты;Апельсины;2540;93;236220
02.02.2020 0:00;О'КЕЙ;Санкт-Петербург;Овощи;Кабачки;325;21;6825
02.02.2020 0:00;Ашан;Волгоград;Зелень;Салат римский;540;21;11340
02.02.2020 0:00;Лента;Санкт-Петербург;Ягоды;Клубника;2460;45;110700
02.02.2020 0:00;Лента;Екатеринбург;Овощи;Баклажаны;890;5;4450
03.02.2020 0:00;Ашан;Екатеринбург;Овощи;Свекла;450;88;39600
03.02.2020 0:00;Магнит;Новосибирск;Ягоды;Смородина черная;1505;25;37625
03.02.2020 0:00;О'КЕЙ;Москва;Зелень;Салат римский;540;16;8640
03.02.2020 0:00;Лента;Новосибирск;Ягоды;Малина;2970;62;184140
03.02.2020 0:00;Магнит;Волгоград;Фрукты;Бананы;2400;26;62400
03.02.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Кабачки;325;21;6825
04.02.2020 0:00;Магнит;Волгоград;Ягоды;Брусника;1670;65;108550
04.02.2020 0:00;Лента;Новосибирск;Фрукты;Абрикосы;1320;33;43560
04.02.2020 0:00;О'КЕЙ;Волгоград;Зелень;Петрушка;640;57;36480
04.02.2020 0:00;Магнит;Санкт-Петербург;Фрукты;Груши;1420;73;103660
04.02.2020 0:00;Магнит;Санкт-Петербург;Зелень;Укроп;650;48;31200
04.02.2020 0:00;Магнит;Ростов-на-Дону;Овощи;Баклажаны;890;10;8900
05.02.2020 0:00;О'КЕЙ;Екатеринбург;Овощи;Свекла;450;51;22950
05.02.2020 0:00;О'КЕЙ;Ростов-на-Дону;Зелень;Петрушка;640;17;10880
05.02.2020 0:00;Лента;Волгоград;Зелень;Салат айсберг;1380;35;48300
05.02.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Апельсины;2540;46;116840
05.02.2020 0:00;Ашан;Санкт-Петербург;Фрукты;Бананы;2400;58;139200
05.02.2020 0:00;Лента;Москва;Зелень;Салат римский;540;98;52920
